PRODUCT_NAME,PRICING,URL,BRAND,SCREEN_SIZE,DISPLAY_TYPE,RESOLUTION,OS
"Samsung - 55"" Class QN90B Neo QLED 4K Smart Tizen TV",$999.99,https://www.bestbuy.com/site/samsung-55-class-qn90b-neo-qled-4k-smart-tizen-tv/6500637.p?skuId=6500637,SAMSUNG,55,Neo,4K Smart,Tizen
"Sony - 65"" Class X80K Series LED 4K UHD HDR Smart Google TV",$799.99,https://www.bestbuy.com/site/sony-65-class-x80k-series-led-4k-uhd-hdr-smart-google-tv/6499677.p?skuId=6499677,SONY,65,LED,4K UHD,Google
"Sony - 65"" Class BRAVIA XR X90K 4K HDR Full Array LED Google TV","$1,199.99",https://www.bestbuy.com/site/sony-65-class-bravia-xr-x90k-4k-hdr-full-array-led-google-tv/6499801.p?skuId=6499801,SONY,65,XR,4K HDR,Google
"Sony - 75"" Class BRAVIA XR X90K 4K HDR Full Array LED Google TV","$1,599.99",https://www.bestbuy.com/site/sony-75-class-bravia-xr-x90k-4k-hdr-full-array-led-google-tv/6499752.p?skuId=6499752,SONY,75,XR,4K HDR,Google
"Samsung - 55"" Class Q60C QLED 4K Smart Tizen TV",$699.99,https://www.bestbuy.com/site/samsung-55-class-q60c-qled-4k-smart-tizen-tv/6537379.p?skuId=6537379,SAMSUNG,55,QLED,Smart Tizen,Tizen
"Sony - 85"" Class BRAVIA XR X90K 4K HDR Full Array LED Google TV","$1,999.99",https://www.bestbuy.com/site/sony-85-class-bravia-xr-x90k-4k-hdr-full-array-led-google-tv/6499748.p?skuId=6499748,SONY,85,XR,4K HDR,Google
"VIZIO - 32"" Class D-Series Full HD Smart TV",$169.99,https://www.bestbuy.com/site/vizio-32-class-d-series-full-hd-smart-tv/6510121.p?skuId=6510121,VIZIO,32,QLED,FHD,Class
"Toshiba - 55"" Class C350 Series LED 4K UHD Smart Fire TV",$299.99,https://www.bestbuy.com/site/toshiba-55-class-c350-series-led-4k-uhd-smart-fire-tv/6532120.p?skuId=6532120,TOSHIBA,55,LED,4K UHD,Fire
"Insignia™ - 58"" Class F30 Series LED 4K UHD Smart Fire TV",$279.99,https://www.bestbuy.com/site/insignia-58-class-f30-series-led-4k-uhd-smart-fire-tv/6463115.p?skuId=6463115,INSIGNIA™,58,LED,4K UHD,Fire
"TCL - 40"" Class 3-Series Full HD 1080p Smart Roku TV",$169.99,https://www.bestbuy.com/site/tcl-40-class-3-series-full-hd-1080p-smart-roku-tv/6508872.p?skuId=6508872,TCL,40,OLED,4K UHD,Class
"LG - 86"" Class UQ75 Series LED 4K UHD Smart webOS TV","$1,199.99",https://www.bestbuy.com/site/lg-86-class-uq75-series-led-4k-uhd-smart-webos-tv/6524315.p?skuId=6524315,LG,86,LED,4K UHD,webOS
"TCL - 43"" Class 4-Series 4K UHD HDR Smart Roku TV",$229.99,https://www.bestbuy.com/site/tcl-43-class-4-series-4k-uhd-hdr-smart-roku-tv/6500470.p?skuId=6500470,TCL,43,QLED,4K UHD,Class
"Toshiba - 50"" Class C350 Series LED 4K UHD Smart Fire TV",$249.99,https://www.bestbuy.com/site/toshiba-50-class-c350-series-led-4k-uhd-smart-fire-tv/6525243.p?skuId=6525243,TOSHIBA,50,LED,4K UHD,Fire
"Hisense - 40"" Class A4G Series LED  Full HD Smart Vidaa TV",$149.99,https://www.bestbuy.com/site/hisense-40-class-a4g-series-led-full-hd-smart-vidaa-tv/6511284.p?skuId=6511284,HISENSE,40,LED,Full HD,Vidaa
